"","b","se","b","se","b","se"
"main","","","","","",""
"r1vs0.treat2","8543.162","1233.324","4932.655","1088.729","-11920.18","3834.631"
"","b","se","b","se","b","se"
"ATET","","","","","",""
"r1vs0.treat2","2750.929","886.0024","2204.32","940.6084","2417.653","973.1798"
"","b","se","b","se","b","se"
"ATET","","","","","",""
"r1vs0.treat2","2750.929","886.0024","2204.304","940.6414","2417.653","973.1799"
